Key,English(en),Russian(ru)
"trooper_armor_product","Trooper armor","Броня солдата"
"trooper_armor_product_description","Description","Описание"
"trooper_armor_component1","Trooper armor component 1","Компонент брони солдата 1"
"trooper_armor_component1_description","Description","Описание"
"trooper_armor_component2","Trooper armor component 2","Компонент брони солдата 2"
"trooper_armor_component2_description","Description","Описание"
"trooper_armor_component3","Trooper armor component 3","Компонент брони солдата 3"
"trooper_armor_component3_description","Description","Описание"

"defender_armor_product","Defender armor","Броня защитника"
"defender_armor_product_description","Description","Описание"
"defender_armor_component1","Defender armor component 1","Компонент брони защитника 1"
"defender_armor_component1_description","Description","Описание"
"defender_armor_component2","Defender armor component 2","Компонент брони защитника 2"
"defender_armor_component2_description","Description","Описание"
"defender_armor_component3","Defender armor component 3","Компонент брони защитника 3"
"defender_armor_component3_description","Description","Описание"

"support_armor_product","Support armor","Броня поддержки"
"support_armor_product_description","Description","Описание"
"support_armor_component1","Support armor component 1","Компонент брони поддержки 1"
"support_armor_component1_description","Description","Описание"
"support_armor_component2","Support armor component 2","Компонент брони поддержки 2"
"support_armor_component2_description","Description","Описание"
"support_armor_component3","Support armor component 3","Компонент брони поддержки 3"
"support_armor_component3_description","Description","Описание"

"sniper_armor_product","Sniper armor","Броня снайпера"
"sniper_armor_product_description","Description","Описание"
"sniper_armor_component1","Sniper armor component 1","Компонент брони снайпера 1"
"sniper_armor_component1_description","Description","Описание"
"sniper_armor_component2","Sniper armor component 2","Компонент брони снайпера 2"
"sniper_armor_component2_description","Description","Описание"
"sniper_armor_component3","Sniper armor component 3","Компонент брони снайпера 3"
"sniper_armor_component3_description","Description","Описание"
