Key,English(en),Russian(ru)
"trooper_weapon_product","Trooper weapon","Вооружение штурмовика"
"trooper_weapon_product_description","Description","Описание"
"trooper_weapon_component1","Trooper weapon component 1","Компонент вооружения штурмовика 1"
"trooper_weapon_component1_description","Description","Описание"
"trooper_weapon_component2","Trooper weapon component 2","Компонент вооружения штурмовика 2"
"trooper_weapon_component2_description","Description","Описание"
"trooper_weapon_component3","Trooper weapon component 3","Компонент вооружения штурмовика 3"
"trooper_weapon_component3_description","Description","Описание"

"defender_weapon_product","Defender weapon","Вооружение защитника"
"defender_weapon_product_description","Description","Описание"
"defender_weapon_component1","Defender weapon component 1","Компонент вооружения защитника 1"
"defender_weapon_component1_description","Description","Описание"
"defender_weapon_component2","Defender weapon component 2","Компонент вооружения защитника 2"
"defender_weapon_component2_description","Description","Описание"
"defender_weapon_component3","Defender weapon component 3","Компонент вооружения защитника 3"
"defender_weapon_component3_description","Description","Описание"

"support_weapon_product","Support weapon","Вооружение поддержки"
"support_weapon_product_description","Description","Описание"
"support_weapon_component1","Support weapon component 1","Компонент вооружения поддержки 1"
"support_weapon_component1_description","Description","Описание"
"support_weapon_component2","Support weapon component 2","Компонент вооружения поддержки 2"
"support_weapon_component2_description","Description","Описание"
"support_weapon_component3","Support weapon component 3","Компонент вооружения поддержки 3"
"support_weapon_component3_description","Description","Описание"

"sniper_weapon_product","Sniper weapon","Вооружение снайпера"
"sniper_weapon_product_description","Description","Описание"
"sniper_weapon_component1","Sniper weapon component 1","Компонент вооружения снайпера 1"
"sniper_weapon_component1_description","Description","Описание"
"sniper_weapon_component2","Sniper weapon component 2","Компонент вооружения снайпера 2"
"sniper_weapon_component2_description","Description","Описание"
"sniper_weapon_component3","Sniper weapon component 3","Компонент вооружения снайпера 3"
"sniper_weapon_component3_description","Description","Описание"
